 ,,Aliyah,,,,,,Yu Tong,,,,,,Yvette,,,,,,Xuan,,,,,,Joseph,,,,,
,,Food Name and Desc.,Price,Time ,Location,Nutrition Value,Satisfaction Value,Food Name and Desc.,Price,Time ,Location,Nutrition Value,Satisfaction Value,Food Name and Desc.,Price,Time ,Location,Nutrition Value,Satisfaction Value,Food Name and Desc.,Price,Time ,Location,Nutrition Value,Satisfaction Value,Food Name and Desc.,Price,Time ,Location,Nutrition Value,Satisfaction Value
Saturday,Breakfast,Fasting,,,,,,I didn't eat breakfast,,,,,,Creamy mushroom bread （savoury) and milk (diary),$3,08:30,Home,4,3,Water,free,10:00,Home,4,5,"Nescafe, Instant Coffee, Sweet",Free,10:21,Home,5,5
,Lunch,Fasting,,,,,,"Rice with fish, veggie & beancurd / Chinese / savory",Free,1.52pm,Home,5,4,Shrimp fried rice (savoury),$6.50,13:00,Maxwell food centre,4,4,"Shake Stack burger with cheese fries (Western, savoury)",$22.8,11:45,Shake Shack,4,5,"Pineapple Fried Rice, Savory, Thai Cusine",$4.5,12:33,Home,4,4
,Dinner,"Crispy Noodle (Chinese, Savoury)",Free,19:30,Home,3,4,Salmon Don / Japanese / savory,$32.72,6.34pm,Home,4,5,"Rice with salmon and mixed veggies (savoury, flavourful)",Free,19:00,Home,5,4,"Winter melon soup and stir fried beef (Chinese, savoury)",free,18:00,Home,4,4,"Winter Melon Soup w/ Brown Rice, Chinese, Savory",$5.5,07:21,Home,5,5
Sunday,Breakfast,No breakfast,,,,,,No breakfast,,,,,,-,,,,,,Water,Free,10:00,Home,3,5,"Chee Cheong Fun, Savory",$2.50,11:45,Home,2,4
,Lunch,"Tacos and Burrito (Mexican, Savoury)",$42,15:00,Bored Tacos,3,5,Instant noodles / Korean / savory,Free,2.24pm,Home,2,4,"Noodles with sesame sauce, cabbage and gyoza (savoury but a little more on the bland side)",Free,12:00,Home,5,4,"Grilled chicken pesto and potted salmon dip (Western, savoury)",$35.70,11:08,Grub,4,5,"Rice Dumplings, Chinese, Savory",$3,15:23,Home,3,2
,Dinner,"Hotpot (Chinese, Savoury)",Free,18:00,Friends House,2,3,Meat bun / Chinese / Savory,$3,7.02pm,Home,3,5,"Fried rice with curry, fried ebi, mixed veggies and a little piece of cake (savoury and sweet)",Free,19:00,Workplace,5,5,"Asam fish head, ee mian, salted egg squid (Chinese, savoury)",free,18:00,Home,5,5,"Beef Soup with Kway Teow, Chinese, Savory",$5,20:12,Home,5,5
Monday,Breakfast,No breakfast,,,,,,No breakfast,,,,,,Chocolate waffles and iced tea (sweet),$4,11:00,North hill,3,3,"Roasted nut bar (Western, sweet)",$1.20,09:15,Hall,4,3,"Nescafe, Instant Coffee, Sweet",Free,09:45,Home,5,5
,Lunch,"Chicken Leg, Eggs, Rice and Chilli (Malay, Savoury)",$7.30,14:00,Kawan Bowl,4,5,"Rice with scrambled egg & tomato, veggies & duck / Chinese / savory",Free,3.04pm,Home,5,5,-,,,,,,"Scrambled egg on noodles with Korean spicy chicken (Korean, savoury)",$6.50,11:55,South Spine canteen,4,5,"Nasi Briyani, Indian, Savory",$7,12:36,Kent Ridge MRT,4,5
,Dinner,No dinner,,,,,,Cherries / sweet,Free,8.36pm,Home,4,5,Fish soup with rice (savoury),$5,20:00,North hill,5,4,"Beef pepper rice (Japanese, savoury)",$6.90,20:50,Hall 12 canteen,4,4,"Mee Pok, Chinese, Savory",$4.5,18:24,Home,4,4
Tuesday,Breakfast,"Fried Rice, Sambal Fish (Malay, Savoury)",Free,10:00,Hall,5,4,No breakfast,,,,,,Pork floss bread and milk,$2.50,08:00,North hill,3,3,"Wang Wang biscuit (Chinese, sweet)",$0.20,09:15,Hall,3,3,"Nescafe, Instant Coffee, Sweet",Free,08:34,Home,3,5
